id,message,urgency_level,urgency_score,service_type,timestamp
1075,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,On-call doctor,2025-09-18T18:51:25.290Z
1076,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,EMS,2025-10-07T05:04:49.025Z
1077,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,Community line,2025-09-13T09:54:25.358Z
1078,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Police,2025-09-28T05:04:33.563Z
1079,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,EMS,2025-10-05T01:58:43.969Z
1080,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Police,2025-10-02T05:59:50.962Z
1081,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Health hotline,2025-09-25T14:55:48.680Z
1082,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,N/A,2025-10-01T02:10:50.553Z
1083,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,Community line,2025-10-02T02:09:56.772Z
1084,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Medical advice,2025-09-21T02:31:53.621Z
1085,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Medical advice,2025-09-19T18:52:02.201Z
1086,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Fire Department,2025-09-21T20:38:10.886Z
1087,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Medical advice,2025-09-11T14:05:35.901Z
1088,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Police,2025-09-18T17:03:28.550Z
1089,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Local police,2025-10-10T09:00:33.699Z
1090,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,N/A,2025-09-29T10:05:30.721Z
1091,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,Police,2025-10-10T08:53:36.309Z
1092,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,N/A,2025-10-09T14:52:22.488Z
1093,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,N/A,2025-09-27T01:06:11.668Z
1094,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,General info,2025-09-30T17:22:52.860Z
1095,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Police,2025-10-06T08:58:42.826Z
1096,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,EMS,2025-09-15T08:49:15.055Z
1097,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,Fire Department,2025-09-21T09:03:32.790Z
1098,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Local police,2025-09-16T05:31:30.772Z
1099,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Police,2025-09-22T09:04:02.841Z
1100,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Fire Department,2025-10-01T14:27:44.461Z
1101,"Hi, I made some homemade cookies yesterday and they came out perfectly, the house smelled amazing",none,0,General info,2025-10-03T14:47:34.030Z
1102,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,On-call doctor,2025-09-19T11:17:33.149Z
1103,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-09-27T03:03:27.839Z
1104,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Medical advice,2025-09-26T16:29:38.469Z
1105,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-09-18T13:55:23.547Z
1106,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,Police,2025-09-11T11:09:26.342Z
1107,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,On-call doctor,2025-10-02T12:38:05.959Z
1108,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Fire Department,2025-09-25T16:20:56.744Z
1109,"I've just been stabbed in the stomach during an assault at Maple neighborhood, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,EMS,2025-10-04T19:53:11.781Z
1110,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,Fire Department,2025-10-07T08:49:38.677Z
1111,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-10-02T11:40:26.087Z
1112,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Fire Department,2025-10-06T20:43:24.693Z
1113,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,EMS,2025-09-15T01:46:23.177Z
1114,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,General info,2025-09-30T18:55:55.300Z
1115,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Medical advice,2025-09-25T10:44:29.852Z
1116,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,Police,2025-09-12T03:30:08.620Z
1117,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,N/A,2025-09-15T10:22:39.465Z
1118,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Police,2025-10-05T08:39:03.377Z
1119,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Police,2025-09-25T11:55:26.550Z
1120,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,Police,2025-09-20T14:29:46.748Z
1121,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,Community line,2025-10-03T16:53:03.728Z
1122,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Local police,2025-09-15T09:41:40.873Z
1123,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,EMS,2025-09-16T17:11:42.962Z
1124,"There was an explosion in my building at shopping mall, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,EMS,2025-09-15T21:43:39.972Z
1125,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-09-15T00:23:45.790Z
1126,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-09-12T01:54:50.844Z
1127,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-09-20T18:35:48.990Z
1128,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,General info,2025-10-02T14:40:20.297Z
1129,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,N/A,2025-09-18T23:38:29.361Z
1130,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Fire Department,2025-10-01T11:11:26.801Z
1131,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,Fire Department,2025-09-29T02:46:43.186Z
1132,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Local police,2025-09-23T19:26:01.836Z
1133,"There was an explosion in my building at 12 Washington Avenue, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,EMS,2025-09-23T15:02:34.069Z
1134,"I've just been stabbed in the stomach during an assault at 34 Oak Street, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,Fire Department,2025-10-10T11:22:26.412Z
1135,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Police,2025-10-09T03:39:47.432Z
1136,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,EMS,2025-10-03T13:33:04.513Z
1137,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Fire Department,2025-09-27T05:23:44.688Z
1138,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Medical advice,2025-10-09T13:06:28.686Z
1139,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-09-25T15:02:57.130Z
1140,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,General info,2025-09-14T13:20:03.298Z
1141,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,Police,2025-09-17T12:53:01.998Z
1142,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Police,2025-10-06T12:35:09.822Z
1143,"I've just been stabbed in the stomach during an assault at shopping mall, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,EMS,2025-09-17T03:58:57.675Z
1144,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-09-14T00:22:40.342Z
1145,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,General info,2025-10-09T04:47:35.662Z
1146,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Medical advice,2025-09-21T22:49:45.952Z
1147,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,Fire Department,2025-09-11T11:27:24.593Z
1148,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,EMS,2025-10-05T14:52:25.170Z
1149,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Fire Department,2025-09-26T20:54:47.503Z
1150,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Local police,2025-09-28T12:58:10.843Z
1151,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-10-02T17:04:42.103Z
1152,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Local police,2025-10-09T17:43:24.832Z
1153,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,EMS,2025-10-04T01:11:15.324Z
1154,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Police,2025-09-27T23:04:53.721Z
1155,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Fire Department,2025-09-28T00:14:52.976Z
1156,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Medical advice,2025-10-09T04:29:44.146Z
1157,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Fire Department,2025-10-06T07:32:48.914Z
1158,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,General info,2025-09-26T06:56:58.081Z
1159,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Local police,2025-09-29T00:43:24.634Z
1160,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Police,2025-10-04T22:43:01.253Z
1161,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,Community line,2025-09-20T18:21:20.420Z
1162,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,On-call doctor,2025-09-25T18:30:13.158Z
1163,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-09-28T00:36:56.577Z
1164,"Hello yes, I'm at Maple neighborhood, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Fire Department,2025-10-07T19:56:39.425Z
1165,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Fire Department,2025-10-04T22:10:26.760Z
1166,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,Fire Department,2025-09-28T00:12:05.672Z
1167,"I just had a motorcycle accident on Highway I-95, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Police,2025-10-05T07:26:09.174Z
1168,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Fire Department,2025-09-17T17:21:31.090Z
1169,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Police,2025-09-28T02:31:57.380Z
1170,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,On-call doctor,2025-09-12T02:18:23.132Z
1171,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Local police,2025-09-12T07:52:02.066Z
1172,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-09-16T11:10:31.003Z
1173,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-09-30T19:16:41.215Z
1174,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,EMS,2025-09-16T10:08:47.593Z
1175,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,On-call doctor,2025-09-19T21:56:20.189Z
1176,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Local police,2025-09-19T23:07:17.533Z
1177,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-09-18T20:56:53.345Z
1178,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,EMS,2025-09-28T10:19:34.875Z
1179,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,General info,2025-10-04T23:08:01.997Z
1180,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Health hotline,2025-10-06T14:40:52.687Z
1181,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Police,2025-09-20T18:11:46.043Z
1182,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Local police,2025-10-07T07:11:32.733Z
1183,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Fire Department,2025-09-17T12:32:29.630Z
1184,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Fire Department,2025-09-14T20:34:14.214Z
1185,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,EMS,2025-09-24T19:52:05.082Z
1186,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Health hotline,2025-09-22T08:40:36.468Z
1187,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Fire Department,2025-09-28T12:35:22.385Z
1188,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,On-call doctor,2025-10-05T17:35:11.626Z
1189,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Police,2025-09-23T06:35:42.477Z
1190,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-10-10T08:53:08.700Z
1191,"I'm witnessing a serious accident on Route 66 near Phoenix, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-10-07T21:28:05.208Z
1192,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-09-15T07:30:53.656Z
1193,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Local police,2025-09-16T17:34:45.270Z
1194,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,EMS,2025-09-13T12:08:17.754Z
1195,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,Community line,2025-09-20T14:23:51.451Z
1196,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Fire Department,2025-10-01T21:10:24.624Z
1197,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Health hotline,2025-09-15T04:07:50.483Z
1198,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,Fire Department,2025-09-14T03:57:01.631Z
1199,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,Community line,2025-09-22T04:22:44.103Z
1200,"Hello yes, I'm at 12 Washington Avenue, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Fire Department,2025-09-29T02:01:16.659Z
1201,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,Fire Department,2025-09-14T21:50:15.746Z
1202,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Health hotline,2025-09-18T23:46:24.419Z
1203,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,EMS,2025-09-20T19:16:48.498Z
1204,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,EMS,2025-09-19T21:52:04.580Z
1205,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,General info,2025-09-10T22:17:06.646Z
1206,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-09-26T08:39:50.601Z
1207,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,Police,2025-10-04T03:39:25.319Z
1208,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Fire Department,2025-09-12T19:20:21.486Z
1209,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,Fire Department,2025-09-14T03:18:13.612Z
1210,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,EMS,2025-09-20T19:37:42.746Z
1211,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Police,2025-09-16T04:54:40.686Z
1212,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,EMS,2025-10-05T07:00:07.996Z
1213,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,Community line,2025-10-05T08:58:46.361Z
1214,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Fire Department,2025-09-30T04:06:41.661Z
1215,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-10-06T12:58:32.437Z
1216,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Fire Department,2025-09-19T15:04:32.455Z
1217,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Medical advice,2025-10-04T17:23:58.403Z
1218,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,General info,2025-09-11T12:03:34.390Z
1219,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-09-13T17:37:40.825Z
1220,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,General info,2025-09-21T00:55:16.931Z
1221,"I just had a motorcycle accident on Route 66 near Phoenix, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,EMS,2025-09-29T00:50:05.550Z
1222,"I'm witnessing a serious accident on County Road 120, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-10-07T17:28:15.522Z
1223,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Local police,2025-09-30T01:50:38.628Z
1224,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Fire Department,2025-10-02T14:18:40.455Z
1225,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Police,2025-10-02T21:28:07.537Z
1226,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-09-26T00:53:34.842Z
1227,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,N/A,2025-09-22T10:22:48.826Z
1228,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Local police,2025-09-27T07:30:41.990Z
1229,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Police,2025-09-25T23:17:02.988Z
1230,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-09-14T03:34:35.834Z
1231,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,Fire Department,2025-09-22T14:14:23.811Z
1232,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Police,2025-10-08T17:05:31.394Z
1233,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Medical advice,2025-10-04T01:11:45.937Z
1234,"I've just been stabbed in the stomach during an assault at Maple neighborhood, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,EMS,2025-10-06T02:55:47.672Z
1235,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-09-27T06:54:22.242Z
1236,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Local police,2025-09-20T05:40:54.373Z
1237,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Local police,2025-10-07T17:13:50.312Z
1238,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-10-09T01:52:46.419Z
1239,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,EMS,2025-09-13T00:44:32.180Z
1240,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-09-15T12:39:02.756Z
